sentence_id,year,month,year_month,source,sentence,sentiment_label,sentiment_score,confidence
00000,2019,12,2019-12,BBC News TV,wants to test me gadgets?,neutral,0,0.8082290887832642
00001,2019,12,2019-12,BBC News TV,"lots of different drugs, all port and now hospital h.",neutral,0,0.6762134432792664
00002,2019,12,2019-12,BBC News TV,"to decide whether human or is the driver, we’re to raise the els that does have a cockpit, hich the developers used to test software.",neutral,0,0.8431116938591003
00003,2019,12,2019-12,BBC News TV,tim peak!,positive,1,0.6192197203636169
00004,2019,12,2019-12,BBC News TV,the amazing tim peak re and the equally amazing mark re is pacing me at street fighter and what are we playing this on?,positive,1,0.9447545409202576
00005,2019,12,2019-12,BBC News TV,"we were uite close to a dam, a lake near town of bargo, when this normous helicopter, a water bombing aft came down with a giant aircraft came down with a giant hose, sucking up water, before going fight the fires, so in many “75 off to fight the fires, so in many ways it is a military style ration, boots on the ground pported by those squadrons of bombing aircraft, tragically, deaths of those two firefighters illustrate the dangers on the ontline.",negative,-1,0.8074133396148682
00006,2019,12,2019-12,BBC News TV,"bushfires are of life in this country, but what worries many scientists and people is that they seem to be tarting eartier they are far re ore intense.",negative,-1,0.7791246175765991
00007,2019,12,2019-12,BBC News TV,"scientists cannot say that particular bushfire west sydney or a fire in western ustralia is directly caused by mate change, what what they can say is that bal warming is making he conditions here dryer, and that assive factor in these bushfires here in eastern australia ample, we have had a very long drought, so what you have our itions of conditions, no ain, strong winds and hot mperatures, and those conditions nspire to heighten the fire anger as we say here in new south es, three major areas facing atastrophic conditions, and that is it gets.",negative,-1,0.5764631032943726
00008,2019,12,2019-12,BBC News TV,: what we can see is the mle more most is the mutation at is the date of ignores principle of national overeignty that ignores the hority of the nation.,neutral,0,0.545806348323822
00009,2019,12,2019-12,BBC News TV,"5 years after the referendum, the new felt strong enough to declare britain after brexit would set its own rules and standards, not follow the ’s.",neutral,0,0.7180051803588867
00010,2019,12,2019-12,BBC News TV,"the law will require the is clear of rules by december 2020, with or without a deal.",neutral,0,0.9041303992271423
00011,2019,12,2019-12,BBC News TV,"after harry dunn died, anne sacoolas flew back to the united states under diplomatic immunity.",neutral,0,0.8417866826057434
00012,2019,12,2019-12,BBC News TV,"two weeks later, anne sacoolas left the , claiming diplomatic immunity.",neutral,0,0.7886733412742615
00013,2019,12,2019-12,BBC News TV,it is emely positive because as far as ran see every equest that has sent the to the has successful.,positive,1,0.9039217233657837
00014,2019,12,2019-12,BBC News TV,the duke of edinburgh — husband of queen elizabeth — is spending the night in a london hospital.,neutral,0,0.7803851366043091
00015,2019,12,2019-12,BBC News TV,nasa hopes the boeing starliner could be used to ferry passengers to and from the international space station — but a test flight in florida failed to go as planned.,negative,-1,0.49150073528289795
00016,2019,12,2019-12,BBC News TV,"and despite the setback, the agency is staying positive.",positive,1,0.8106412291526794
00017,2019,12,2019-12,BBC News TV,"so a lot of things went right today, and i want to be really clear, a lot of things went right and this is we test and because we are now in orbit and because in fact elevating our orbit, we are going to get a lot more data and a lot more information in the coming days.",positive,1,0.8384724259376526
00018,2019,12,2019-12,BBC News TV,so this is all very positive.,positive,1,0.9743029475212097
00019,2019,12,2019-12,BBC News TV,"another enterprise, the california space—x company, has already completed a test flight of its astronaut capsule.",neutral,0,0.8044220209121704
00020,2019,12,2019-12,BBC News TV,is well aware that some cases reality not yet match the the reality does not yet match the aspiration -- sharan.,neutral,0,0.6466794610023499
00021,2019,12,2019-12,BBC News TV,to make cement carbon negative by 2040.,neutral,0,0.6261638402938843
00022,2019,12,2019-12,BBC News TV,and becoming on negative requires a huge investment in cutting—edge nology to remove the may remaining carbon dioxide.,neutral,0,0.6790798902511597
00023,2019,12,2019-12,BBC News TV,"have been closed, rail roads have been closed, rail services have been disrupt third, at with just a few days left until christmas, summer idaymakers hoping to go north, outh, and west of sydney have been to stay at home today and to elay their trip until tomorrow, use conditions are very, very dangerous, as you say, very hot eratures in parts of new south alas.",negative,-1,0.7927021384239197
00024,2019,12,2019-12,BBC News TV,"and of course there have deaths, as well, happened ere, including a couple of olunteer firefighters.",negative,-1,0.7648308873176575
00025,2019,12,2019-12,BBC News TV,"scientists are telling at this annual fire season is not only starting earlier, it is ely to longer, and is more intense.",neutral,0,0.717700183391571
00026,2019,12,2019-12,BBC News TV,"now, scientists can’t say that that icular bushfire west of sydney a fire in western australia is rectly caused by climate change, hat they do say is that global warming is making the conditions dryer and that is a massive here dryer and that is a massive factor in these bushfires.",negative,-1,0.6594598293304443
00027,2019,12,2019-12,BBC News TV,"the local ownership development, i think another is his sis on education and on emphasis on education and on empowering of women and the returns you get from that and in recent, i don’t think it was something he began early in his career but over the 15 years or so he was ncreasingly involved in ing randomised controlled trials to test ventions and see how well they orked.",neutral,0,0.8553179502487183
00028,2019,12,2019-12,BBC News TV,"and that been a pioneering step in elopment, nobel prize for onomics went to three economists orked on them and in some cases with or on — inspired rammes i think he leaves a uge legacy at the top tiers of elopment but also in villages ound the world, kids who otherwise have died who are here because his work.",neutral,0,0.6830025911331177
00029,2019,12,2019-12,BBC News TV,"the duke of edinburgh, husband of queen elizabeth, is spending the night in a london hospital.",neutral,0,0.7402224540710449
00030,2019,12,2019-12,BBC News TV,"nasa hopes the boeing starliner craft could be used to ferry passengers to and from the international space station, but a test flight in florida failed to go as planned.",negative,-1,0.5118337869644165
00031,2019,12,2019-12,BBC News TV,"and despite the setback, the agency is staying positive.",positive,1,0.8106412291526794
00032,2019,12,2019-12,BBC News TV,"and i want to be really clear — a lot of things went right, and this is we test and because we are now in orbit and because, in fact, elevating our orbit, we are going to get a lot more data and a lot more information in the coming days.",positive,1,0.8943850994110107
00033,2019,12,2019-12,BBC News TV,so this is all very positive.,positive,1,0.9743029475212097
