sentence_id,year,month,year_month,source,period,sentence,emotion,confidence
00000,2016,08,2016-08,bbc_news_tv,control,they were armed with knives and axes.,anger,0.46686
00001,2016,08,2016-08,bbc_news_tv,control,we are expecting a cut in the rates today taking it down to a quarter of 1%.,neutral,0.488418
00002,2016,08,2016-08,bbc_news_tv,control,riot police used tear gas and pepper spray to disperse the crowd.,anger,0.818581
00003,2016,08,2016-08,bbc_news_tv,control,it should stay dry.,neutral,0.824807
00004,2016,08,2016-08,bbc_news_tv,control,look at them.,disgust,0.657545
00005,2016,08,2016-08,bbc_news_tv,control,it was nice.,joy,0.986087
00006,2016,08,2016-08,bbc_news_tv,control,i mentioned earlier you live locally in the earlier you live orally in the area.,neutral,0.794278
00007,2016,08,2016-08,bbc_news_tv,control,we have other live animals here.,neutral,0.844418
00008,2016,08,2016-08,bbc_news_tv,control,-- but not in spirit.,neutral,0.723807
00009,2016,08,2016-08,bbc_news_tv,control,"let --- citation breakfast news channel, 06:00 04/08/2016, news 24, 150 mins.",neutral,0.750885
00010,2016,08,2016-08,bbc_news_tv,control,i don’t know if you have any requests for our artistic tape,surprise,0.599283
00011,2016,08,2016-08,bbc_news_tv,control,he has talked about these before.,neutral,0.927867
00012,2016,08,2016-08,bbc_news_tv,control,fascinating to see the chemistry between them.,disgust,0.876015
00013,2016,08,2016-08,bbc_news_tv,control,"you live very close to the scene, and this morning.",neutral,0.618236
00014,2016,08,2016-08,bbc_news_tv,control,everybody is excited and pleased a great buzz.,joy,0.924517
00015,2016,08,2016-08,bbc_news_tv,control,we shall see.,neutral,0.837322
00016,2016,08,2016-08,bbc_news_tv,control,that would make it the lowest on record.,surprise,0.472132
00017,2016,08,2016-08,bbc_news_tv,control,"for us, it means mortgages could become cheaper, loans could become cheaper.",joy,0.627055
00018,2016,08,2016-08,bbc_news_tv,control,these little piglets.,disgust,0.656454
00019,2016,08,2016-08,bbc_news_tv,control,it comes out looking like that.,neutral,0.779703
00020,2016,08,2016-08,bbc_news_tv,control,"they are kids, just eight months old.",neutral,0.824721
00021,2016,08,2016-08,bbc_news_tv,control,can you use it to regional policy.,neutral,0.914576
00022,2016,08,2016-08,bbc_news_tv,control,that is what it is all about.,neutral,0.940667
00023,2016,08,2016-08,bbc_news_tv,control,it’s been more than a century since golf was played at the olympics.,neutral,0.723607
00024,2016,08,2016-08,bbc_news_tv,control,we will speak to the boss of a company that hopes to revolutionise the way charities raise money.,neutral,0.70177
00025,2016,08,2016-08,bbc_news_tv,control,-- rebuild.,neutral,0.873302
00026,2016,08,2016-08,bbc_news_tv,control,thank you- more details in 15 minutes.,neutral,0.420675
00027,2016,08,2016-08,bbc_news_tv,control,research from the regulator ofcom has found that a third of internet users have taken between a day and a month away from the web.,neutral,0.657376
00028,2016,08,2016-08,bbc_news_tv,control,you can’t ask me to put it over my mouth.,disgust,0.589286
00029,2016,08,2016-08,bbc_news_tv,control,"mega competitive, as i am.",neutral,0.648262
00030,2016,08,2016-08,bbc_news_tv,control,he is talking about the ten pledges which he says will lead build and transform britain.,neutral,0.953418
00031,2016,08,2016-08,bbc_news_tv,control,the former everton manager roberto martinez has been appointed as the new head coach of the belgium national team.,joy,0.761066
00032,2016,08,2016-08,bbc_news_tv,control,sevens girls are in the house.,sadness,0.428804
00033,2016,08,2016-08,bbc_news_tv,control,surprised.,surprise,0.971845
00034,2016,08,2016-08,bbc_news_tv,control,i mentioned earlier you live pardon for interrupting.,anger,0.618609
00035,2016,08,2016-08,bbc_news_tv,control,we ran talk to a terrorism could not be ruled out.,fear,0.960591
00036,2016,08,2016-08,bbc_news_tv,control,i am ready to go.,joy,0.936958
00037,2016,08,2016-08,bbc_news_tv,control,the police came in an interview people.,anger,0.5673
00038,2016,08,2016-08,bbc_news_tv,control,we can enquiry for us to explore.,fear,0.496648
00039,2016,08,2016-08,bbc_news_tv,control,good morning from london news.,joy,0.803254
00040,2016,08,2016-08,bbc_news_tv,control,it will obviously adds to a sense of anxiety for many.,fear,0.980604
00041,2016,08,2016-08,bbc_news_tv,control,feel better for it?,joy,0.944818
00042,2016,08,2016-08,bbc_news_tv,control,"while there has been a lot of controversy surrounding the mall golfers, it is not put the women.",neutral,0.919077
00043,2016,08,2016-08,bbc_news_tv,control,they asked people to stay ralm.,neutral,0.867662
00044,2016,08,2016-08,bbc_news_tv,control,early indications suggest mental health was a significant factor in this case.,neutral,0.396059
00045,2016,08,2016-08,bbc_news_tv,control,this time i am more levelheaded.,joy,0.955529
00046,2016,08,2016-08,bbc_news_tv,control,"by the time we get to saturday, we are looking at rain across northern ireland and western scotland.",neutral,0.887616
00047,2016,08,2016-08,bbc_news_tv,control,"good morning again, today’s weather is pretty good.",joy,0.774496
00048,2016,08,2016-08,bbc_news_tv,control,she was an inspiration for so many people.,joy,0.665195
00049,2016,08,2016-08,bbc_news_tv,control,"one witness said he was screaming his guts out, as he said it.",disgust,0.900234
00050,2016,08,2016-08,bbc_news_tv,control,"through the day those shower clouds will build across parts of wales, the midlands, and on towards east anglia.",neutral,0.882579
00051,2016,08,2016-08,bbc_news_tv,control,look at this little darling.,joy,0.410284
00052,2016,08,2016-08,bbc_news_tv,control,i will be taking you through the day because of the morning.,joy,0.760484
00053,2016,08,2016-08,bbc_news_tv,control,and i am so glad you got to say the name of it and not me.,joy,0.978262
00054,2016,08,2016-08,bbc_news_tv,control,issues.,sadness,0.540596
00055,2016,08,2016-08,bbc_news_tv,control,what i am not sure about is this next thing.,neutral,0.789808
00056,2016,08,2016-08,bbc_news_tv,control,the temperatures will be higher as well.,neutral,0.885023
00057,2016,08,2016-08,bbc_news_tv,control,there you have it.,neutral,0.928257
00058,2016,08,2016-08,bbc_news_tv,control,but apparently that is not the case and it was a lone wolf attack.,neutral,0.849492
00059,2016,08,2016-08,bbc_news_tv,control,four or five.,neutral,0.922017
00060,2016,08,2016-08,bbc_news_tv,control,"however, there were chaotic scenes later when the torch relay was challenged by hundreds of demonstrators angry about the cost of hosting the games.",anger,0.852738
00061,2016,08,2016-08,bbc_news_tv,control,some of this is quite amusing.,joy,0.954739
00062,2016,08,2016-08,bbc_news_tv,control,standing somewhere very high near an edge.,fear,0.613201
00063,2016,08,2016-08,bbc_news_tv,control,looking warm over the weekend.,sadness,0.703995
00064,2016,08,2016-08,bbc_news_tv,control,the general climate of uncertainty is can they go?,fear,0.983524
00065,2016,08,2016-08,bbc_news_tv,control,they will be vital in the investigation.,neutral,0.725451
00066,2016,08,2016-08,bbc_news_tv,control,"into northern england, we have showers, club.",neutral,0.79856
00067,2016,08,2016-08,bbc_news_tv,control,hello?,surprise,0.753834
00068,2016,08,2016-08,bbc_news_tv,control,"it hasn’t been established yet that there was any terrorist element, but nevertheless the city is on a state of alert.",fear,0.847516
00069,2016,08,2016-08,bbc_news_tv,control,tomorrow is looking nice.,joy,0.489159
00070,2016,12,2016-12,bbc_news_tv,control,i hope you’ve that’s it for click this week.,neutral,0.638859
00071,2016,12,2016-12,bbc_news_tv,control,"the possibility is that he is being pushed to do this by certain advisers that he is surrounded by in the asia-pacific stop for many years, many foreign policy thinkers in the united states and particularly in the conservative ramp have particularly in the conservative camp have called for the united ramp have called for the united states camp have called for the united states to more aggressively pushed for time and is self determination.",neutral,0.661626
00072,2016,12,2016-12,bbc_news_tv,control,"so after three days on the road, we have made it to santiago.",neutral,0.732851
00073,2016,12,2016-12,bbc_news_tv,control,he stood as an independent.,neutral,0.688444
00074,2016,12,2016-12,bbc_news_tv,control,"we need to meet now to talk about how we are going to eventually arrive at a peaceful resolution of the situation, and restore the relationship between north dakota and the standing rock people.",neutral,0.523832
00075,2016,12,2016-12,bbc_news_tv,control,it’s really a strong energy point.,joy,0.656057
00076,2016,12,2016-12,bbc_news_tv,control,"since we are like recognised as a goddess, we can feel the prayers and the feeling of the people, the faith of the people that made us so powerful and the power within us also.",joy,0.93139
00077,2016,12,2016-12,bbc_news_tv,control,and hunger could end up killing more people than boko haram.,anger,0.584993
00078,2016,12,2016-12,bbc_news_tv,control,"and off they go, spreading their new take on an old sound to more unsuspecting commuters.",neutral,0.919605
00079,2016,12,2016-12,bbc_news_tv,control,not yet.,neutral,0.934032
00080,2016,12,2016-12,bbc_news_tv,control,have never seen anything like this in the two years have been living in cuba.,neutral,0.331769
00081,2016,12,2016-12,bbc_news_tv,control,one thing she has to gain is a lot of support.,neutral,0.519622
00082,2016,12,2016-12,bbc_news_tv,control,"but when compared to the powerhouse economic regions of london and the south-east, places like redcar are falling further and further behind.",sadness,0.368391
00083,2016,12,2016-12,bbc_news_tv,control,"temperature is 4-6 celsius, so a little cool, but at least the winds are light.",neutral,0.903572
00084,2016,12,2016-12,bbc_news_tv,control,"""",neutral,0.847774
00085,2016,12,2016-12,bbc_news_tv,control,a former home office minister dismissed those who argued britain was not in a strong place to negotiate a good brexit deal.,anger,0.937868
00086,2016,12,2016-12,bbc_news_tv,control,"an aeroplane glory there, a rainbow around the shadow cast on the cloud.",joy,0.87445
00087,2016,12,2016-12,bbc_news_tv,control,our correspondent martin patience has been to maiduguri - where a small number of international volunteers are struggling to cope with a growing crisis.,neutral,0.714987
00088,2016,12,2016-12,bbc_news_tv,control,that leaves a huge mental scar that affects their life forever.,sadness,0.756602
00089,2016,12,2016-12,bbc_news_tv,control,temperatures between two and five degrees.,neutral,0.929023
00090,2016,12,2016-12,bbc_news_tv,control,through saturday morning there may well be a few showers around.,neutral,0.856843
00091,2016,12,2016-12,bbc_news_tv,control,those in this clinic are at least getting some help.,neutral,0.914199
00092,2016,12,2016-12,bbc_news_tv,control,and sunday we are looking at a sunny day.,joy,0.853839
00093,2016,12,2016-12,bbc_news_tv,control,"an estimated 10,000 people are camping at the site in north dakota, near the small town of cannon ball.",neutral,0.643123
00094,2016,12,2016-12,bbc_news_tv,control,there is reflective markers on either your sunglasses or ball cap or even a helmet.,neutral,0.949657
00095,2016,12,2016-12,bbc_news_tv,control,"the energy company building the pipeline insists it is safe and legal, but the native americans in this camp have a question, who wrote these laws?",neutral,0.859749
00096,2016,12,2016-12,bbc_news_tv,control,not yet.,neutral,0.934032
00097,2016,12,2016-12,bbc_news_tv,control,you look dead all on it!,disgust,0.466195
00098,2016,12,2016-12,bbc_news_tv,control,"an turned to alleged remarks by the foreign secretary, borisjohnson - since denied - that he supported free movement of people.",anger,0.819644
00099,2016,12,2016-12,bbc_news_tv,control,"darren, i am literally right on your face.",surprise,0.560022
00100,2016,12,2016-12,bbc_news_tv,control,air across from germany is what we have for sunday.,joy,0.408273
00101,2016,12,2016-12,bbc_news_tv,control,"they asked me questions like, do you feel some powers?",neutral,0.525526
00102,2016,12,2016-12,bbc_news_tv,control,nice to meet you.,joy,0.909146
