sentence_id,year,month,year_month,source,period,sentence,sentiment_label,sentiment_score,confidence
00000,2016,08,2016-08,bbc_news_tv,control,they were armed with knives and axes.,negative,-1,0.993410050868988
00001,2016,08,2016-08,bbc_news_tv,control,we are expecting a cut in the rates today taking it down to a quarter of 1%.,positive,1,0.9961450099945068
00002,2016,08,2016-08,bbc_news_tv,control,riot police used tear gas and pepper spray to disperse the crowd.,negative,-1,0.9974623918533325
00003,2016,08,2016-08,bbc_news_tv,control,it should stay dry.,positive,1,0.998687207698822
00004,2016,08,2016-08,bbc_news_tv,control,look at them.,positive,1,0.9976096153259277
00005,2016,08,2016-08,bbc_news_tv,control,it was nice.,positive,1,0.998347282409668
00006,2016,08,2016-08,bbc_news_tv,control,i mentioned earlier you live locally in the earlier you live orally in the area.,positive,1,0.9894603490829468
00007,2016,08,2016-08,bbc_news_tv,control,we have other live animals here.,positive,1,0.9921143054962158
00008,2016,08,2016-08,bbc_news_tv,control,-- but not in spirit.,negative,-1,0.9943963289260864
00009,2016,08,2016-08,bbc_news_tv,control,"let --- citation breakfast news channel, 06:00 04/08/2016, news 24, 150 mins.",negative,-1,0.994478702545166
00010,2016,08,2016-08,bbc_news_tv,control,i don’t know if you have any requests for our artistic tape,negative,-1,0.9928627610206604
00011,2016,08,2016-08,bbc_news_tv,control,he has talked about these before.,positive,1,0.9693363904953003
00012,2016,08,2016-08,bbc_news_tv,control,fascinating to see the chemistry between them.,positive,1,0.9984272718429565
00013,2016,08,2016-08,bbc_news_tv,control,"you live very close to the scene, and this morning.",positive,1,0.997718334197998
00014,2016,08,2016-08,bbc_news_tv,control,everybody is excited and pleased a great buzz.,positive,1,0.9987769722938538
00015,2016,08,2016-08,bbc_news_tv,control,we shall see.,positive,1,0.9550020098686218
00016,2016,08,2016-08,bbc_news_tv,control,that would make it the lowest on record.,negative,-1,0.9993318915367126
00017,2016,08,2016-08,bbc_news_tv,control,"for us, it means mortgages could become cheaper, loans could become cheaper.",positive,1,0.997261643409729
00018,2016,08,2016-08,bbc_news_tv,control,these little piglets.,negative,-1,0.9851694107055664
00019,2016,08,2016-08,bbc_news_tv,control,it comes out looking like that.,negative,-1,0.9960970282554626
00020,2016,08,2016-08,bbc_news_tv,control,"they are kids, just eight months old.",positive,1,0.991351842880249
00021,2016,08,2016-08,bbc_news_tv,control,can you use it to regional policy.,positive,1,0.9907050728797913
00022,2016,08,2016-08,bbc_news_tv,control,that is what it is all about.,positive,1,0.9983541965484619
00023,2016,08,2016-08,bbc_news_tv,control,it’s been more than a century since golf was played at the olympics.,positive,1,0.9933473467826843
00024,2016,08,2016-08,bbc_news_tv,control,we will speak to the boss of a company that hopes to revolutionise the way charities raise money.,positive,1,0.9976341724395752
00025,2016,08,2016-08,bbc_news_tv,control,-- rebuild.,positive,1,0.9956172704696655
00026,2016,08,2016-08,bbc_news_tv,control,thank you- more details in 15 minutes.,positive,1,0.7876784801483154
00027,2016,08,2016-08,bbc_news_tv,control,research from the regulator ofcom has found that a third of internet users have taken between a day and a month away from the web.,negative,-1,0.9911767244338989
00028,2016,08,2016-08,bbc_news_tv,control,you can’t ask me to put it over my mouth.,negative,-1,0.9994296431541443
00029,2016,08,2016-08,bbc_news_tv,control,"mega competitive, as i am.",positive,1,0.9975497126579285
00030,2016,08,2016-08,bbc_news_tv,control,he is talking about the ten pledges which he says will lead build and transform britain.,positive,1,0.9925723671913147
00031,2016,08,2016-08,bbc_news_tv,control,the former everton manager roberto martinez has been appointed as the new head coach of the belgium national team.,positive,1,0.9939368367195129
00032,2016,08,2016-08,bbc_news_tv,control,sevens girls are in the house.,positive,1,0.9885836839675903
00033,2016,08,2016-08,bbc_news_tv,control,surprised.,positive,1,0.9967803955078125
