sentence_id,year,month,year_month,source,sentence,sentiment_label,sentiment_score,confidence
00000,2019,12,2019-12,BBC News TV,"lots of different drugs, call port and new hospital drugs, all port and now hospital lunch.",neutral,0,0.7319692969322205
00001,2019,12,2019-12,BBC News TV,"we were quite close to a dam, a lake near the town of bargo, when this enormous helicopter, a water bombing aircraft came down with a giant hose, sucking up water, before going off to fight the fires, so in many “75 off to fight the fires, so in many ways it is a military style operation, boots on the ground supported by those squadrons of water bombing aircraft, tragically, the deaths of those two firefighters does illustrate the dangers on the frontline.",negative,-1,0.8529818058013916
00002,2019,12,2019-12,BBC News TV,: what we can see is the rule of more most is the is the mic of more most is the mutation is the rule of more most is the mutation that is the date of ignores the principle of national sovereignty that ignores the authority of the nation.,neutral,0,0.5601691603660583
00003,2019,12,2019-12,BBC News TV,it is extremely positive because as far as i ran see every extremely positive because as far as i can see every request that has i ran see every request that has been i can see every request that has been sent i ran see every request that has been sent by i can see every request that has been sent by the to the has been successful.,positive,1,0.9518596529960632
00004,2019,12,2019-12,BBC News TV,she is well aware that some cases she is well aware that some rases the reality she is well aware that some cases the reality does not yet match the aspiration -- sharan.,neutral,0,0.6080486178398132
00005,2019,12,2019-12,BBC News TV,"and that has been a pioneering step in development - the nobel prize for economics went to three economists who worked on them, in some cases with or -inspired programmes, so i think he, you know, he leaves a huge legacy at the top tiers of development, but also in villages around the world - kids who otherwise would have died who are here because of his work.",neutral,0,0.4758369028568268
00006,2019,12,2019-12,BBC News TV,"the appalling cases in this film might have been prevented, if only the right measures been in place.",negative,-1,0.785221517086029
00007,2019,12,2019-12,BBC News TV,": what weakens the rule : what weakens the mle of law : what weakens the rule of law most of the mutation that we all the of law most of the mutation that we call the state of the state all the state ofjudges, the state of the call the state ofjudges, the state of the judges is the state which ignores the principle of national sovereignty, that ignores the authority of the nation, the state of the judges is the state in which the judges decide what is law and what is not.",negative,-1,0.6458747982978821
00008,2019,12,2019-12,BBC News TV,"and that has been a pioneering step in development - the nobel prize for economics went to three economists who worked on them, in some cases with or -inspired programmes, so i think he, you know, he leaves a huge legacy at the top tiers of development, but also in villages around the world - kids who otherwise would have died who are here because of his work.",neutral,0,0.4758369028568268
00009,2020,04,2020-04,BBC News TV,"the prime minister has spent the night in hospital, ten days after being diagnosed with coronavirus.",negative,-1,0.618458092212677
00010,2020,04,2020-04,BBC News TV,scotland’s chief medical officer resigns after making two trips to her second home during the lockdown.,negative,-1,0.5852435827255249
00011,2020,04,2020-04,BBC News TV,she says the will suceed in its fight against the coronavirus.,neutral,0,0.6020750999450684
00012,2020,04,2020-04,BBC News TV,a tiger - and six other big cats - at the bronx zoo in new york test positive for the coronavirus.,neutral,0,0.7784526348114014
00013,2020,04,2020-04,BBC News TV,"the prime minister borisjohnson has spent the night in hospital, where he was admitted for tests, ten days after being diagnosed with coronavirus.",neutral,0,0.519592821598053
00014,2020,04,2020-04,BBC News TV,he remains in charge of the government but the foreign secretary dominic raab will chair this morning’s coronavirus meeting.,neutral,0,0.9047483801841736
00015,2020,04,2020-04,BBC News TV,"scotland’s chief medical officer has resigned after being criticised for visiting her second home twice, against her own lockdown advice.",negative,-1,0.8036962151527405
00016,2020,04,2020-04,BBC News TV,"in a rare address to the nation, the monarch thanked the public for following government rules to stay at home.",positive,1,0.7006155252456665
