sentence_id,year,month,year_month,source,period,sentence,sentiment_label,sentiment_score,confidence
00000,2016,08,2016-08,bbc_news_tv,control,they were armed with knives and axes.,neutral,0,0.0
00001,2016,08,2016-08,bbc_news_tv,control,we are expecting a cut in the rates today taking it down to a quarter of 1%.,negative,-1,0.2732
00002,2016,08,2016-08,bbc_news_tv,control,riot police used tear gas and pepper spray to disperse the crowd.,negative,-1,0.5574
00003,2016,08,2016-08,bbc_news_tv,control,it should stay dry.,neutral,0,0.0
00004,2016,08,2016-08,bbc_news_tv,control,look at them.,neutral,0,0.0
00005,2016,08,2016-08,bbc_news_tv,control,it was nice.,positive,1,0.4215
00006,2016,08,2016-08,bbc_news_tv,control,i mentioned earlier you live locally in the earlier you live orally in the area.,neutral,0,0.0
00007,2016,08,2016-08,bbc_news_tv,control,we have other live animals here.,neutral,0,0.0
00008,2016,08,2016-08,bbc_news_tv,control,-- but not in spirit.,negative,-1,0.1967
00009,2016,08,2016-08,bbc_news_tv,control,"let --- citation breakfast news channel, 06:00 04/08/2016, news 24, 150 mins.",neutral,0,0.0
00010,2016,08,2016-08,bbc_news_tv,control,i don’t know if you have any requests for our artistic tape,neutral,0,0.0
00011,2016,08,2016-08,bbc_news_tv,control,he has talked about these before.,neutral,0,0.0
00012,2016,08,2016-08,bbc_news_tv,control,fascinating to see the chemistry between them.,positive,1,0.5423
00013,2016,08,2016-08,bbc_news_tv,control,"you live very close to the scene, and this morning.",neutral,0,0.0
00014,2016,08,2016-08,bbc_news_tv,control,everybody is excited and pleased a great buzz.,positive,1,0.8555
00015,2016,08,2016-08,bbc_news_tv,control,we shall see.,neutral,0,0.0
00016,2016,08,2016-08,bbc_news_tv,control,that would make it the lowest on record.,negative,-1,0.3818
00017,2016,08,2016-08,bbc_news_tv,control,"for us, it means mortgages could become cheaper, loans could become cheaper.",neutral,0,0.0
00018,2016,08,2016-08,bbc_news_tv,control,these little piglets.,neutral,0,0.0
00019,2016,08,2016-08,bbc_news_tv,control,it comes out looking like that.,positive,1,0.3612
00020,2016,08,2016-08,bbc_news_tv,control,"they are kids, just eight months old.",neutral,0,0.0
00021,2016,08,2016-08,bbc_news_tv,control,can you use it to regional policy.,neutral,0,0.0
00022,2016,08,2016-08,bbc_news_tv,control,that is what it is all about.,neutral,0,0.0
00023,2016,08,2016-08,bbc_news_tv,control,it’s been more than a century since golf was played at the olympics.,positive,1,0.34
00024,2016,08,2016-08,bbc_news_tv,control,we will speak to the boss of a company that hopes to revolutionise the way charities raise money.,positive,1,0.7184
00025,2016,08,2016-08,bbc_news_tv,control,-- rebuild.,neutral,0,0.0
00026,2016,08,2016-08,bbc_news_tv,control,thank you- more details in 15 minutes.,positive,1,0.3612
00027,2016,08,2016-08,bbc_news_tv,control,research from the regulator ofcom has found that a third of internet users have taken between a day and a month away from the web.,neutral,0,0.0
00028,2016,08,2016-08,bbc_news_tv,control,you can’t ask me to put it over my mouth.,neutral,0,0.0
00029,2016,08,2016-08,bbc_news_tv,control,"mega competitive, as i am.",positive,1,0.1779
00030,2016,08,2016-08,bbc_news_tv,control,he is talking about the ten pledges which he says will lead build and transform britain.,neutral,0,0.0
00031,2016,08,2016-08,bbc_news_tv,control,the former everton manager roberto martinez has been appointed as the new head coach of the belgium national team.,neutral,0,0.0
