sentence_id,year,month,year_month,source,period,sentence,sentiment_label,sentiment_score,confidence
00000,2016,08,2016-08,bbc_news_tv,control,a 19 year rolled man is under arrest at hospital.,negative,-1,0.9980504512786865
00001,2016,08,2016-08,bbc_news_tv,control,"and a 19 year rolled man was tasered, he is still in hospital as well.",negative,-1,0.9967823028564453
00002,2016,08,2016-08,bbc_news_tv,control,"they treated a further five people who were injured, three men and two women who were taken to the hospital.",positive,1,0.9932224750518799
00003,2016,08,2016-08,bbc_news_tv,control,"but, of course, there is a long way to go in this contest and tonight will be a big test.",positive,1,0.9969833493232727
00004,2016,08,2016-08,bbc_news_tv,control,pakistan had the better of the first day of the third test at edgbaston.,positive,1,0.9976065158843994
00005,2016,08,2016-08,bbc_news_tv,control,a 19-year-old man is under arrest at hospital.,negative,-1,0.9984519481658936
00006,2016,08,2016-08,bbc_news_tv,control,"england’s bowlers will have their turn at edgbaston today, after england were bowled out for 297 on the first day of the third test against pakistan.",negative,-1,0.9971064925193787
00007,2016,08,2016-08,bbc_news_tv,control,for many people it is a positive thing in their lives.,positive,1,0.9976943135261536
00008,2016,08,2016-08,bbc_news_tv,control,"anotherfascinating point for me was that people are also introducing little rules in their lives, making a bit of a change, such as making sure that they don’t use their smartphone or tablet when they are talking to other people, or maybe putting it to one side at meal times.",positive,1,0.9932869076728821
00009,2016,08,2016-08,bbc_news_tv,control,"it makes borrowing less incentive, which is positive for us.",positive,1,0.9956575632095337
00010,2016,08,2016-08,bbc_news_tv,control,"but it also weakens the pound, a percent of ourselves are going overseas, so that is positive.",positive,1,0.9795100092887878
00011,2016,08,2016-08,bbc_news_tv,control,a 19-year-old man is under arrest at hospital.,negative,-1,0.9984519481658936
00012,2016,08,2016-08,bbc_news_tv,control,i am looking and concern about the like virus.,negative,-1,0.9973856806755066
00013,2016,08,2016-08,bbc_news_tv,control,but we are also hearing about the suspect tasered that is now in hospital.,negative,-1,0.9855661392211914
00014,2016,08,2016-08,bbc_news_tv,control,"england’s bowlers will have their turn at edgbaston today, after england were bowled out for 297 on the first day of the third test against pakistan.",negative,-1,0.9971064925193787
00015,2016,08,2016-08,bbc_news_tv,control,"for an exporting manufacturer in this country at the moment it is positive news, especially one that wants to grow.",positive,1,0.9987782835960388
00016,2016,08,2016-08,bbc_news_tv,control,for those who want to grow it is extremely positive.,positive,1,0.9987534284591675
00017,2016,08,2016-08,bbc_news_tv,control,i think it is impacts lending and could be negative.,negative,-1,0.9994202852249146
00018,2016,08,2016-08,bbc_news_tv,control,"i will not test that, because it also has very because.",negative,-1,0.999126136302948
00019,2016,08,2016-08,bbc_news_tv,control,positive.,positive,1,0.9985080361366272
00020,2016,08,2016-08,bbc_news_tv,control,a 19-year-old man is under police guard in hospital after being tasered by police.,negative,-1,0.99724942445755
00021,2016,08,2016-08,bbc_news_tv,control,a 19-year-old man is under arrest in hospital.,negative,-1,0.9979308843612671
00022,2016,08,2016-08,bbc_news_tv,control,"things like borrowing to invest £500 billion in infrastructure to boost the economy, to boost the economy, improving infrastructure to boost the economy, improving workers’ rights, getting rid of things like zero hours contracts, and putting a stop to what he calls the privatisation of the national health service.",positive,1,0.998072624206543
00023,2016,08,2016-08,bbc_news_tv,control,"this’ll be the first such that owen smith will be doing it, so an important test for him.",positive,1,0.9982268214225769
00024,2016,12,2016-12,bbc_news_tv,control,"the trump transition team has issued a statement saying that two leaders, the tie weenies leader tsai ing-wen and the president elect donald trump, noted president elect donald tmmp, noted the dose president elect donald trump, noted the close economical and security the dose economical and security ties that the close economical and security ties that exist between taiwan and the .",positive,1,0.9942465424537659
00025,2016,12,2016-12,bbc_news_tv,control,there was a hospital but there were no medicines.,negative,-1,0.9983319640159607
00026,2016,12,2016-12,bbc_news_tv,control,every time something negative happens you expect the government to jump in and and help out.,negative,-1,0.9887991547584534
00027,2016,12,2016-12,bbc_news_tv,control,there are lots of positive developments in areas like this.,positive,1,0.9968084692955017
00028,2016,12,2016-12,bbc_news_tv,control,premier league rules require clubs to forward any mles require clubs to forward any allegations of rules require clubs to forward any allegations of abuse.,positive,1,0.9795390367507935
00029,2016,12,2016-12,bbc_news_tv,control,"the band will be brought into improved air quality, which has been linked to 3 million deaths a year globally.",positive,1,0.9980179071426392
00030,2016,12,2016-12,bbc_news_tv,control,"because in many cases, and this is the use because in many cases, and this is the case with sony in particular, the rase with sony in particular, the the case with sony in particular, the human link is often the weakest part of any security system.",negative,-1,0.996249258518219
00031,2016,12,2016-12,bbc_news_tv,control,the british physicist and cosmologist stephen hawking has been taken to hospital in rome.,negative,-1,0.9932214021682739
00032,2016,12,2016-12,bbc_news_tv,control,the 22-year-old has been rushed to 22-year-old has been mshed to hospital with 22-year-old has been rushed to hospital with suspected injuries to her legs.,positive,1,0.7392791509628296
00033,2016,12,2016-12,bbc_news_tv,control,"then three-month later, testing for the 2000 season i hit the wall at orlando, florida and that’s that story.",negative,-1,0.9988383650779724
00034,2016,12,2016-12,bbc_news_tv,control,-- the peak of everything will stop is racing past made it important for sam to to adapt to tars so important for sam to to adapt to cars so he could actually feel like he was driving.,positive,1,0.9979763627052307
00035,2016,12,2016-12,bbc_news_tv,control,day martin has cerebral palsy and he volunteered to be a test pilot to find out whether soft running cars find out whether soft mnning cars could find out whether soft running cars could one find out whether soft mnning cars could one day find out whether soft running cars could one day help him to become king of the road.,positive,1,0.995763897895813
00036,2016,12,2016-12,bbc_news_tv,control,we are going to leicestershire because i’m going to be testing a driverless or as they all be testing a driverless or as they call autonomous car.,positive,1,0.9858605861663818
00037,2016,12,2016-12,bbc_news_tv,control,be testing a driverless or as they call autonomous car.,negative,-1,0.982395350933075
00038,2016,12,2016-12,bbc_news_tv,control,i remember having my first plaster of paris cast done when remember having my first plaster of paris cast done when first came paris cast done when i first came out of paris cast done when first came out of hospital.,positive,1,0.9932435154914856
00039,2016,12,2016-12,bbc_news_tv,control,paris cast done when first came out of hospital.,positive,1,0.9920646548271179
00040,2016,12,2016-12,bbc_news_tv,control,"it was a challenge to bring an application to the market that is complete, where we ran say you the market that is complete, where we can say you will not need to use we ran say you will not need to use your hands any we can say you will not need to use your hands any more with this application, rather than just supporting specific cases, which most of the major applications out there already do.",negative,-1,0.9896684885025024
00041,2016,12,2016-12,bbc_news_tv,control,i am testing a i ran only see blurs.,negative,-1,0.999468982219696
00042,2016,12,2016-12,bbc_news_tv,control,lam testing a device i can only see blurs.,negative,-1,0.9994919300079346
00043,2016,12,2016-12,bbc_news_tv,control,"i am testing a device which can help people with device which ran help people with varying device which can help people with varying degrees of vision, including those have no at all.",positive,1,0.9948503375053406
00044,2016,12,2016-12,bbc_news_tv,control,anger on the streets of athens as disabled people from across greece protest against tough austerity measures.,negative,-1,0.9031740427017212
00045,2016,12,2016-12,bbc_news_tv,control,there was a hospital but there were no medicines.,negative,-1,0.9983319640159607
00046,2016,12,2016-12,bbc_news_tv,control,"the british physicist, stephen hawking, has been taken to hospital in rome.",negative,-1,0.9896217584609985
00047,2016,12,2016-12,bbc_news_tv,control,they’re angry about tough austerity measures imposed as part of the country’s bailout deal.,negative,-1,0.9956634640693665
00048,2016,12,2016-12,bbc_news_tv,control,all these measures will lead to the confinement of people with disabilities in there houses.,negative,-1,0.9991207718849182
00049,2016,12,2016-12,bbc_news_tv,control,they’re angry about tough austerity measures.,negative,-1,0.9921422004699707
00050,2016,12,2016-12,bbc_news_tv,control,during that time he didn’t once mention the national health service or social care.,negative,-1,0.9994828701019287
00051,2016,12,2016-12,bbc_news_tv,control,full participation in the single market on fair rules should be the aim.,positive,1,0.9984989166259766
00052,2016,12,2016-12,bbc_news_tv,control,this is a test.,negative,-1,0.960615336894989
00053,2016,12,2016-12,bbc_news_tv,control,"last month, up to 10,000 prison officers in england and wales stopped work over claims of a surge of violence injails until a high court injunction ordered them to end a protest.",negative,-1,0.9953101277351379
00054,2016,12,2016-12,bbc_news_tv,control,anger on the streets of athens as disabled people from across greece protest against tough austerity measures.,negative,-1,0.9031740427017212
00055,2016,12,2016-12,bbc_news_tv,control,there was a hospital but there were no medicines.,negative,-1,0.9983319640159607
00056,2016,12,2016-12,bbc_news_tv,control,they’re angry about tough austerity measures imposed as part of the country’s bailout deal.,negative,-1,0.9956634640693665
00057,2016,12,2016-12,bbc_news_tv,control,all these measures will lead to the confinement of people with disabilities in there houses.,negative,-1,0.9991207718849182
00058,2016,12,2016-12,bbc_news_tv,control,they’re angry about tough austerity measures.,negative,-1,0.9921422004699707
00059,2016,12,2016-12,bbc_news_tv,control,"fortunately made it there, won the race in vegas in 1999 with this car and that was kind of the peak of everything.",positive,1,0.9987422823905945
00060,2016,12,2016-12,bbc_news_tv,control,"then three-month later, testing for the 2000 season, i hit the wall at orlando florida and that’s that story.",negative,-1,0.998379111289978
00061,2016,12,2016-12,bbc_news_tv,control,"i’m testing a device called horus, which can help people with varying degrees of vision, including those have no sight at all.",positive,1,0.997643768787384
